District,Village,Village_Lat,Village_Lon,Nearest_Station,Distance_km
SARAN,-,25.71666667,84.81166667,Arrah Chhapra Bridge,0.0
BHOJPUR,-,25.25138889,84.63777778,Arwal Sahar Bridge,0.0
PURNIA,-,25.86277778,87.73888889,Baisi_1,0.0
JAMUI,-,24.83055556,86.21361111,Bhaunr_1,0.0
KISHANGANJ,-,26.27305556,87.75833333,Bibiganj_1,0.0
BANKA,-,24.62666667,86.67277778,Chanan_1,0.0
PASHCHIM CHAMPARAN,-,26.95277778,84.15916667,Dhanaha Bridge,0.0
KISHANGANJ,-,26.34444444,88.03944444,Gardankatta West_1,0.0
GAYA,-,24.80833333,85.30277778,Jamuawan,0.0
JAMUI,-,24.76666667,86.29277778,Katharatanr,0.0
MUNGER,-,25.13722222,86.525,Kharagpur Dam,0.0
PATNA,-,25.42222222,85.53527778,Kharuara_1,0.0
JAMUI,-,24.99722222,86.21305556,Kundar Weir,0.0
JAMUI,-,24.86638889,86.29472222,Lathane,0.0
JAMUI,-,24.96416667,86.23888889,Patauna(Kiul River),0.0
JAMUI,-,24.96638889,86.24277778,Patauna (on Nakti River),0.0
KISHANGANJ,-,26.33305556,87.94388889,Tarabari_1,0.0
